recording_id,domain,source_frame_index,timestamp_ns,timestamp_s,side,state_candidate,state_confidence,evaluable,missing_mask_penalised,is_ground_truth,review_required,rationale,left_hand_visible,left_hand_partially_visible,left_hand_occluded,left_hand_out_of_frame,left_hand_motion_blurred,left_arm_visible,hand_tracking_available,hand_tracking_valid,hand_segmentation_proxy_available,right_hand_visible,right_hand_partially_visible,right_hand_occluded,right_hand_out_of_frame,right_hand_motion_blurred,right_arm_visible
motorcycle_5ab8604a14df,motorcycle,13875,3099822119217,3099.822119217,left,not_visible,0.5,False,False,False,True,"neither hand tracking nor the segmentation proxy reports a hand; on a motorcycle this is an expected, non-erroneous situation",False,False,False,False,False,,True,False,True,,,,,,
motorcycle_5ab8604a14df,motorcycle,13875,3099822119217,3099.822119217,right,not_visible,0.5,False,False,False,True,"neither hand tracking nor the segmentation proxy reports a hand; on a motorcycle this is an expected, non-erroneous situation",,,,,,,True,False,True,False,False,False,False,False,
motorcycle_5ab8604a14df,motorcycle,13876,3099888768020,3099.88876802,left,not_visible,0.5,False,False,False,True,"neither hand tracking nor the segmentation proxy reports a hand; on a motorcycle this is an expected, non-erroneous situation",False,False,False,False,False,,True,False,True,,,,,,
motorcycle_5ab8604a14df,motorcycle,13876,3099888768020,3099.88876802,right,not_visible,0.5,False,False,False,True,"neither hand tracking nor the segmentation proxy reports a hand; on a motorcycle this is an expected, non-erroneous situation",,,,,,,True,False,True,False,False,False,False,False,
motorcycle_5ab8604a14df,motorcycle,13877,3099955410165,3099.955410165,left,not_visible,0.5,False,False,False,True,"neither hand tracking nor the segmentation proxy reports a hand; on a motorcycle this is an expected, non-erroneous situation",False,False,False,False,False,,True,False,True,,,,,,
motorcycle_5ab8604a14df,motorcycle,13877,3099955410165,3099.955410165,right,not_visible,0.5,False,False,False,True,"neither hand tracking nor the segmentation proxy reports a hand; on a motorcycle this is an expected, non-erroneous situation",,,,,,,True,False,True,False,False,False,False,False,
motorcycle_5ab8604a14df,motorcycle,13878,3100022058812,3100.022058812,left,not_visible,0.5,False,False,False,True,"neither hand tracking nor the segmentation proxy reports a hand; on a motorcycle this is an expected, non-erroneous situation",False,False,False,False,False,,True,False,True,,,,,,
motorcycle_5ab8604a14df,motorcycle,13878,3100022058812,3100.022058812,right,not_visible,0.5,False,False,False,True,"neither hand tracking nor the segmentation proxy reports a hand; on a motorcycle this is an expected, non-erroneous situation",,,,,,,True,False,True,False,False,False,False,False,
motorcycle_5ab8604a14df,motorcycle,13879,3100088720613,3100.088720613,left,not_visible,0.5,False,False,False,True,"neither hand tracking nor the segmentation proxy reports a hand; on a motorcycle this is an expected, non-erroneous situation",False,False,False,False,False,,True,False,True,,,,,,
motorcycle_5ab8604a14df,motorcycle,13879,3100088720613,3100.088720613,right,not_visible,0.5,False,False,False,True,"neither hand tracking nor the segmentation proxy reports a hand; on a motorcycle this is an expected, non-erroneous situation",,,,,,,True,False,True,False,False,False,False,False,
motorcycle_5ab8604a14df,motorcycle,13880,3100155362760,3100.15536276,left,not_visible,0.5,False,False,False,True,"neither hand tracking nor the segmentation proxy reports a hand; on a motorcycle this is an expected, non-erroneous situation",False,False,False,False,False,,True,False,True,,,,,,
motorcycle_5ab8604a14df,motorcycle,13880,3100155362760,3100.15536276,right,not_visible,0.5,False,False,False,True,"neither hand tracking nor the segmentation proxy reports a hand; on a motorcycle this is an expected, non-erroneous situation",,,,,,,True,False,True,False,False,False,False,False,
motorcycle_5ab8604a14df,motorcycle,13881,3100222024509,3100.222024509,left,not_visible,0.5,False,False,False,True,"neither hand tracking nor the segmentation proxy reports a hand; on a motorcycle this is an expected, non-erroneous situation",False,False,False,False,False,,True,False,True,,,,,,
motorcycle_5ab8604a14df,motorcycle,13881,3100222024509,3100.222024509,right,not_visible,0.5,False,False,False,True,"neither hand tracking nor the segmentation proxy reports a hand; on a motorcycle this is an expected, non-erroneous situation",,,,,,,True,False,True,False,False,False,False,False,
motorcycle_5ab8604a14df,motorcycle,13882,3100288679310,3100.28867931,left,not_visible,0.5,False,False,False,True,"neither hand tracking nor the segmentation proxy reports a hand; on a motorcycle this is an expected, non-erroneous situation",False,False,False,False,False,,True,False,True,,,,,,
motorcycle_5ab8604a14df,motorcycle,13882,3100288679310,3100.28867931,right,not_visible,0.5,False,False,False,True,"neither hand tracking nor the segmentation proxy reports a hand; on a motorcycle this is an expected, non-erroneous situation",,,,,,,True,False,True,False,False,False,False,False,
motorcycle_5ab8604a14df,motorcycle,13883,3100355321957,3100.355321957,left,not_visible,0.5,False,False,False,True,"neither hand tracking nor the segmentation proxy reports a hand; on a motorcycle this is an expected, non-erroneous situation",False,False,False,False,False,,True,False,True,,,,,,
motorcycle_5ab8604a14df,motorcycle,13883,3100355321957,3100.355321957,right,not_visible,0.5,False,False,False,True,"neither hand tracking nor the segmentation proxy reports a hand; on a motorcycle this is an expected, non-erroneous situation",,,,,,,True,False,True,False,False,False,False,False,
motorcycle_5ab8604a14df,motorcycle,13884,3100421995914,3100.421995914,left,not_visible,0.5,False,False,False,True,"neither hand tracking nor the segmentation proxy reports a hand; on a motorcycle this is an expected, non-erroneous situation",False,False,False,False,False,,True,False,True,,,,,,
motorcycle_5ab8604a14df,motorcycle,13884,3100421995914,3100.421995914,right,not_visible,0.5,False,False,False,True,"neither hand tracking nor the segmentation proxy reports a hand; on a motorcycle this is an expected, non-erroneous situation",,,,,,,True,False,True,False,False,False,False,False,
motorcycle_5ab8604a14df,motorcycle,13885,3100488657321,3100.488657321,left,not_visible,0.5,False,False,False,True,"neither hand tracking nor the segmentation proxy reports a hand; on a motorcycle this is an expected, non-erroneous situation",False,False,False,False,False,,True,False,True,,,,,,
motorcycle_5ab8604a14df,motorcycle,13885,3100488657321,3100.488657321,right,not_visible,0.5,False,False,False,True,"neither hand tracking nor the segmentation proxy reports a hand; on a motorcycle this is an expected, non-erroneous situation",,,,,,,True,False,True,False,False,False,False,False,
motorcycle_5ab8604a14df,motorcycle,13886,3100555318781,3100.555318781,left,not_visible,0.5,False,False,False,True,"neither hand tracking nor the segmentation proxy reports a hand; on a motorcycle this is an expected, non-erroneous situation",False,False,False,False,False,,True,False,True,,,,,,
motorcycle_5ab8604a14df,motorcycle,13886,3100555318781,3100.555318781,right,not_visible,0.5,False,False,False,True,"neither hand tracking nor the segmentation proxy reports a hand; on a motorcycle this is an expected, non-erroneous situation",,,,,,,True,False,True,False,False,False,False,False,
motorcycle_5ab8604a14df,motorcycle,13887,3100621980186,3100.621980186,left,not_visible,0.5,False,False,False,True,"neither hand tracking nor the segmentation proxy reports a hand; on a motorcycle this is an expected, non-erroneous situation",False,False,False,False,False,,True,False,True,,,,,,
motorcycle_5ab8604a14df,motorcycle,13887,3100621980186,3100.621980186,right,not_visible,0.5,False,False,False,True,"neither hand tracking nor the segmentation proxy reports a hand; on a motorcycle this is an expected, non-erroneous situation",,,,,,,True,False,True,False,False,False,False,False,
motorcycle_5ab8604a14df,motorcycle,13888,3100688628989,3100.688628989,left,not_visible,0.5,False,False,False,True,"neither hand tracking nor the segmentation proxy reports a hand; on a motorcycle this is an expected, non-erroneous situation",False,False,False,False,False,,True,False,True,,,,,,
motorcycle_5ab8604a14df,motorcycle,13888,3100688628989,3100.688628989,right,not_visible,0.5,False,False,False,True,"neither hand tracking nor the segmentation proxy reports a hand; on a motorcycle this is an expected, non-erroneous situation",,,,,,,True,False,True,False,False,False,False,False,
motorcycle_5ab8604a14df,motorcycle,13889,3100755296894,3100.755296894,left,not_visible,0.5,False,False,False,True,"neither hand tracking nor the segmentation proxy reports a hand; on a motorcycle this is an expected, non-erroneous situation",False,False,False,False,False,,True,False,True,,,,,,
motorcycle_5ab8604a14df,motorcycle,13889,3100755296894,3100.755296894,right,not_visible,0.5,False,False,False,True,"neither hand tracking nor the segmentation proxy reports a hand; on a motorcycle this is an expected, non-erroneous situation",,,,,,,True,False,True,False,False,False,False,False,
motorcycle_5ab8604a14df,motorcycle,13890,3100821958353,3100.821958353,left,not_visible,0.5,False,False,False,True,"neither hand tracking nor the segmentation proxy reports a hand; on a motorcycle this is an expected, non-erroneous situation",False,False,False,False,False,,True,False,True,,,,,,
motorcycle_5ab8604a14df,motorcycle,13890,3100821958353,3100.821958353,right,not_visible,0.5,False,False,False,True,"neither hand tracking nor the segmentation proxy reports a hand; on a motorcycle this is an expected, non-erroneous situation",,,,,,,True,False,True,False,False,False,False,False,
motorcycle_5ab8604a14df,motorcycle,13891,3100888645071,3100.888645071,left,not_visible,0.5,False,False,False,True,"neither hand tracking nor the segmentation proxy reports a hand; on a motorcycle this is an expected, non-erroneous situation",False,False,False,False,False,,True,False,True,,,,,,
motorcycle_5ab8604a14df,motorcycle,13891,3100888645071,3100.888645071,right,not_visible,0.5,False,False,False,True,"neither hand tracking nor the segmentation proxy reports a hand; on a motorcycle this is an expected, non-erroneous situation",,,,,,,True,False,True,False,False,False,False,False,
motorcycle_5ab8604a14df,motorcycle,13892,3100955306634,3100.955306634,left,not_visible,0.5,False,False,False,True,"neither hand tracking nor the segmentation proxy reports a hand; on a motorcycle this is an expected, non-erroneous situation",False,False,False,False,False,,True,False,True,,,,,,
motorcycle_5ab8604a14df,motorcycle,13892,3100955306634,3100.955306634,right,not_visible,0.5,False,False,False,True,"neither hand tracking nor the segmentation proxy reports a hand; on a motorcycle this is an expected, non-erroneous situation",,,,,,,True,False,True,False,False,False,False,False,
motorcycle_5ab8604a14df,motorcycle,13893,3101021961592,3101.021961592,left,not_visible,0.5,False,False,False,True,"neither hand tracking nor the segmentation proxy reports a hand; on a motorcycle this is an expected, non-erroneous situation",False,False,False,False,False,,True,False,True,,,,,,
motorcycle_5ab8604a14df,motorcycle,13893,3101021961592,3101.021961592,right,not_visible,0.5,False,False,False,True,"neither hand tracking nor the segmentation proxy reports a hand; on a motorcycle this is an expected, non-erroneous situation",,,,,,,True,False,True,False,False,False,False,False,
motorcycle_5ab8604a14df,motorcycle,13894,3101088622999,3101.088622999,left,not_visible,0.5,False,False,False,True,"neither hand tracking nor the segmentation proxy reports a hand; on a motorcycle this is an expected, non-erroneous situation",False,False,False,False,False,,True,False,True,,,,,,
